,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
901,112.281995,5.6141,157.41935800000005,200.0,1.992278,21.937168,8.5,24.9,58.097809,10.77421804,6.3426889489999985,1.392310964,0.272088989,0.236848962,1.632149046,3.653288016,0.056523973,5.607037037,4.460285955,0.206779057,0.19803202,13.38064503,5304,18.880263,10.548759,47.77,26.690001,0,0.2510699033596617,0.7132667571925937
2227,118.917502,6.6593800000000005,167.435844,200.0,2.115921,16.71624,7.8,26.75,64.35148306,10.67668095,6.004647965,1.176299028,0.336581954,0.14812097,0.023852976,0.76034899,0.165019972,6.678778035,5.264213033,0.366523029,0.351019028,13.12541705,6701,22.281525,10.502414,53.23,25.09,1,0.2500000059724368,0.7102272677049963
413,115.576758,5.952203,162.211982,200.0,2.0529330000000003,18.896666,8.1,26.0,62.30882496,9.558019032999999,5.714444975,1.325714963,0.154841969,0.101040971,2.178418042,2.79935505,0.078127952,5.967756026,5.095270034,0.202528964,0.176386949,13.18779002,4778,18.461955,12.213043,45.380001,30.02,0,0.2508015714893367,0.7125044437222893
251,126.095279,6.241716,176.72253500000005,200.0,2.213902,16.917935999999994,7.4,30.200001,71.11791303,9.243610047,5.616482991,1.00350603,0.166808941,0.125083955,0.970184991,4.097065967,0.070119939,6.2349450210000015,5.323396048999999,0.220146012,0.191729951,13.07746802,4608,19.717381,13.802167,44.422984,31.096089000000006,0,0.25115948002896177,0.7135212212749211
2488,113.95369,6.49536,160.560751,200.0,2.003943,10.232005,7.0,29.799999,61.14923701,10.22543798,5.994074027000001,1.093990032,0.250936959,0.13223395300000002,1.6230989480000002,1.121245052,0.154112978,6.481821025,5.108970962,0.34947403200000005,0.33469096,11.23925305,6990,21.608172,10.942472,53.869999,27.280001,1,0.2498225733884366,0.7097232000366016
1365,115.643614,5.782181,162.132347,200.0,2.057599,20.642475,8.0,26.5,61.92746397,9.808917001000001,5.998288047999999,1.577126007,0.427229034,0.094403048,1.51732902,3.708126966,0.023510032,5.8176839560000015,4.84613095,0.214547972,0.205471973,13.06666605,5797,17.264533,13.313298,42.41217,32.70554,1,0.2510699052546251,0.7132667610122241
681,106.658878,5.29028,149.493085,200.0,1.891964,22.748563,8.0,22.25,54.75417499,11.00745899,6.046214021,1.349024003,0.252948043,0.095065968,1.65870404,2.958670982,0.720485985,5.308085015,4.222475042,0.197333026,0.188986023,12.01481496,5063,17.078733,12.104163,45.490002,32.240002000000004,0,0.2511415561462257,0.7134703120214557
2205,118.778616,6.710992,167.299681,200.0,2.106589,15.823915,7.55,26.4,64.59143197,10.42185098,6.039956957999999,1.225658991,0.34402998100000004,0.154876015,0.02379396,0.7808110309999999,0.156777947,6.721904946,5.298205977,0.365625036,0.35015899100000003,12.67810404,6678,21.473654,11.046222,51.360001,26.42,1,0.249911259543884,0.7099751493250007
758,113.377866,5.612204,158.89908,200.0,2.020273,22.964878,8.5,24.299999,59.43488304,10.94882497,6.447911034,1.375927973,0.27875604800000003,0.112990027,1.766594955,3.362183005,0.05924995900000001,5.630971971,4.479326057,0.209760009,0.200886957,13.56866305,5140,18.900907,12.072475,47.360001,30.25,0,0.25115947807879063,0.7135212236596965
950,112.009302,5.600465,157.03704299999995,230.0,1.978281,19.185181,7.5,27.5,59.63588203,9.655917036,5.715032038,1.248942018,0.08985203900000001,0.188246006,1.4525250180000002,3.422098993,0.009437908,5.619435955,4.470148998,0.207236948,0.198469955,11.83255905,5352,18.775268,11.769042,47.619999,29.85,0,0.2510699020230533,0.7132667545198238
1620,120.824777,6.403713,169.75881299999998,200.0,2.134584,14.396192999999998,7.4,30.9,65.33313401,10.36928001,5.965032052000001,0.940355002,0.242456947,0.101140942,1.308070012,0.874351946,0.17487694199999998,6.427563052999999,5.50199395,0.0,0.0,12.60893905,6073,21.222632,11.623537,49.900002,27.33,1,0.2505338147009781,0.7117437667286235
1225,119.815582,7.368658,169.359326,195.0,2.127585,14.931588,7.2,31.200001,65.75858305,9.304510951000001,6.101906044,1.3441370069999998,0.462278996,0.199197046,0.0,3.569494958,0.023628031,7.403026978,6.166721999,0.0,0.0,12.25074595,5643,20.505526,12.22234,48.619999,28.98,1,0.2490272428221638,0.7074637389617386
1939,115.742575,6.713069,163.197032,200.0,2.048267,18.024985,7.0,26.1,62.78818603,9.956197974,5.920098045,1.066954975,0.057457054,0.143736966,0.953700984,0.213087972,0.112666002,6.736651004,5.348900974,0.35695101700000004,0.341851055,11.48785095,6409,21.234411,10.886098,52.119999,26.719999,1,0.2496453979628747,0.7092198527237922
2148,119.507654,6.632675,168.207024,200.0,2.122919,18.084474,7.7,23.33,65.26901501,10.30478204,6.082965988,1.086155043,0.161275951,0.147303043,0.8579980070000001,0.6877319609999999,0.182917983,6.649523006,5.241154006,0.369201021,0.35362498600000003,13.01207099,6618,21.483461,11.572548,51.07,27.51,1,0.2500888131758398,0.710479569509535
88,119.86495,6.05318,168.110593,200.0,2.127585,21.456087,8.0,26.4,66.89554298,8.982750966000001,5.542828995,1.156964031,0.190956004,0.163170984,0.709078963,3.896931985,0.035898054,6.074016012,5.18599503,0.208999039,0.199618017,13.51111104,4431,19.740119,12.337574,46.785888,29.241179,0,0.2509804007413144,0.7130124750675289
1139,122.101797,6.715599,171.79722900000004,210.0,2.174243,12.135633,8.0,33.099998,67.16850897,10.15903,5.794618047999999,1.122127031,0.273841989,0.341664961,0.414077969,1.3768670019999998,0.084902974,6.73823204,5.360128952,0.225905985,0.216350005,13.80740705,5555,18.769293,15.201967000000002,43.669998,35.369999,1,0.2501776905842876,0.7107320514465341
2757,119.869736,6.592835000000001,168.65671899999995,200.0,2.108922,17.48959,6.7,26.5,65.169111,11.09751805,6.242176012000001,1.219219044,0.351425945,0.152306988,2.494165041,3.655604997,0.020029962,6.596082973,5.263673991,0.7384469709999999,0.7072659609999999,11.35295194,7261,21.097074,11.39242,50.0,27.0,1,0.250177687851262,0.7107320521277306
