,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
277,113.336847,5.440169,158.67158700000005,200.0,2.006275,24.14272,7.8,24.5,60.97927998,9.52789804,5.785333985,1.299057998,0.145094049,0.091499945,2.11884201,3.400029949,0.058617011,5.464506959,4.665595997,0.198972946,0.173289976,12.44526897,4641,17.790822,12.379697,44.594595,31.031031,0,0.25142857492186044,0.7142857088837208
465,120.176568,6.068917,168.54763799999995,200.0,2.125252,22.235647,7.6,22.0,66.78569904,9.066900965,5.510472947,1.241803969,0.247894003,0.092708956,0.429365056,0.463157034,0.062665983,6.089868007000001,5.199528963000001,0.210766051,0.201359995,12.86914495,4844,20.351566,12.161869,48.110001,28.75,0,0.25098039641469205,0.7130124718805019
738,118.024099,5.865798000000002,165.434381,200.0,2.087926,21.987196,8.2,26.1,63.30531795,10.42357401,6.195889952000001,1.461354979,0.347512998,0.122028975,1.821711946,3.426626022,0.068057058,5.858417013,4.660253971,0.217353951,0.208159948,13.56561904,5119,19.779329,12.363638,47.610001,29.76,0,0.2511236403755759,0.7134194131025279
2456,84.46735,7.264191999999999,125.518482,160.0,1.623683,31.885783,10.9,18.4,33.47236698,10.20688302,8.440230962000001,1.142944978,1.748778014,0.046135975,6.173380987000001,0.149423026,0.169187958,7.264192005,5.725635984,0.0,0.0,13.68151396,6957,22.069629,6.007318,65.32,17.780001000000006,1,0.26917900425213875,0.6729475106303467
2514,88.56084399999997,6.597783,130.582965,160.0,1.698336,33.967876000000004,11.5,18.0,34.99438403,8.770126953,8.115006988,1.31370298,0.00163204,0.015112997,5.141046009,0.010715957,0.420486954,6.597783026,5.200371988000001,0.0,0.0,15.01704103,7016,22.57593,6.454314,63.73,18.219999,1,0.2712784014362057,0.6781959959325474
695,125.932272,6.548478,176.80891100000005,200.0,2.223233,18.48518,7.2,28.5,68.143152,11.28162097,6.395872009,0.929974004,0.156944996,0.096955061,0.7903790559999999,3.262800977,0.166853035,6.576858057999999,5.231758986,0.233215999,0.223350996,12.80149294,5077,23.023803,11.511902,51.93945,25.969726,0,0.2507122562391665,0.7122507077711709
1460,114.037328,6.614165,160.792633,210.0,2.03497,9.815586,8.5,32.299999,62.45655998,10.32536694,5.781097022000001,0.876425033,0.06448095,0.210606955,0.385460019,1.32846804,0.094064983,6.566192967,5.469638999,1.217716009,1.166205014,13.66737405,5908,19.781955,11.841636,49.280998,29.5,1,0.2496453926468136,0.7092198558624263
566,111.096966,5.943688,156.14678600000005,200.0,1.98528,16.000054000000002,9.0,33.0,60.39818797,8.818929011,5.396923982000001,1.257368972,0.144084033,0.087821991,2.053799985,2.436240055,0.048740033,5.936228975,4.722152053,0.204597985,0.195942975,14.05321106,4947,17.237984,12.3067,44.080002,31.469999,0,0.2504446873469429,0.7114905714421812
383,123.987763,6.013406,173.644863,260.0,2.167244,17.047329,6.6,28.700001,67.64670803,10.83369203,6.649722025,0.905205058,0.06216105900000001,0.123954945,0.8068499709999999,0.6146390039999999,0.05790800400000001,6.0228789639999984,5.142333968,0.434086043,0.378054973,11.50356495,4748,20.17648,13.533909,46.23,31.01,0,0.25133881443990663,0.7140306995433547
2025,107.42897,4.243444,149.48741299999998,260.0,1.870968,15.764427,7.4,27.0,56.73490797,11.35585496,5.9709610510000015,1.251617023,0.228818994,0.091466964,1.731430953,3.79292899,0.553306024,4.232632022,3.5096980280000003,0.241710984,0.241710984,11.05176902,6495,20.484384,9.620136,54.169998,25.440001,1,0.2529644285168009,0.7186489340075743
102,125.979545,5.795058999999998,176.119406,210.0,2.202237,21.417647,6.6,26.25,71.01934296,9.523405041,5.829731022000001,0.988907965,0.203551941,0.084228006,1.154207059,4.1095519760000006,0.03272696,5.821338042000001,4.970258029,0.221193992,0.192643954,11.68930603,4446,20.907569,12.778048,47.147733,28.815212,0,0.251788272554133,0.7153075737718534
2798,123.280639,6.533874,173.209299,200.0,2.17191,18.024985,7.5,28.0,66.71601698,11.29583898,6.370903955,1.236248051,0.36021303600000004,0.155493052,2.549712061,3.747581042,0.020506957,6.507609004,5.193071988,0.734079041,0.696261936,12.99069701,7302,22.960181,11.855456,52.91,27.32,1,0.25053381227528665,0.7117437672904617
968,117.182356,5.624753,164.0553,200.0,2.076262,19.370412,8.5,26.799999,63.11297301,9.488895992,6.745519947000001,1.287049978,0.077271009,0.172974982,1.47956904,3.527430023,0.26695604300000003,5.617667042999999,4.468741946000001,0.215802956,0.206674959,13.94470001,5370,19.873378,11.928977,48.18,28.92,0,0.2514285731701445,0.7142857073194222
1422,114.148406,6.848903999999999,161.17755,200.0,2.043601,13.146937,8.3,34.400002,61.66301404,9.205126953999999,5.214936956,1.659350011,0.52007298,0.17850197,1.600592024,0.510033975,0.020692981000000003,6.865613971,5.719055989,0.210994982,0.202069056,13.427147,5865,18.093162,12.544271,45.029999,31.219999,1,0.2492917903268787,0.7082152942515878
2735,123.628048,7.108613,174.253734,200.0,2.1789080000000003,12.492563,6.7,33.0,66.83243199,11.25787102,6.519035969,1.253292006,0.354756987,0.152597016,2.473509026,0.68572805,0.008077769,7.126999955,5.687345982,0.381948001,0.36583397,11.72970906,7151,21.871681,12.789668,50.259998,29.389999,1,0.2497339540511654,0.7094714423737972
1549,115.955661,5.797783,162.56983799999998,200.0,2.036603,18.143962,6.5,28.299999,62.67607794,9.292981054,6.4352899689999985,1.477338948,0.367602994,0.14193195,1.78136297,3.812658049,0.062697019,5.839422977999999,4.864239953999999,0.215348994,0.206239979,10.65633799,6001,19.387787,12.236755,47.5,29.98,1,0.2510699063377304,0.7132667561617427
2625,119.066436,6.429588,167.40741,200.0,2.108922,19.155265,8.0,24.299999,64.22122998,10.57074297,6.050960036,1.266198992,0.33237806,0.140975972,1.961596955,3.46397299,0.019861011,6.416097026,5.120045041,0.366703045,0.35125702200000003,13.39259304,7127,22.648914,11.311883,54.040001,26.99,1,0.2503556264325456,0.7112375491622505
2190,113.739371,6.483144,160.258774,200.0,2.022606,19.214753,7.7,26.75,60.42485302,10.00067395,5.8638689789999985,1.173799024,0.124962946,0.147678039,0.809693032,0.542559031,0.163068978,6.499664977999999,5.123036009,0.350436055,0.33561198200000003,12.39721397,6661,19.97409,11.13008,49.889999,27.799999,1,0.24982257757693815,0.7097232067930334
192,116.46551,5.9397410000000015,163.401112,200.0,2.062265,24.849157,7.8,23.1,65.34980604,8.030352004,5.010796043,1.295347005,0.194432959,0.057711035,1.926403035,0.8636120009999999,0.08815501699999999,5.955320006,5.084652013,0.204088946,0.177745008,12.79257902,4540,19.989581,10.917197,48.759998,26.629999,0,0.25089095476902257,0.7127583684987407
1424,113.316154,6.685653,159.889094,200.0,2.0179400000000003,13.146935999999998,7.8,31.5,61.21214796,9.137228964,5.17035396,1.643563991,0.516284014,0.17702094699999998,1.588947965,0.506322949,0.020543045,6.702073043,5.582826956,0.209459969,0.200599024,12.51762605,5867,18.914551,11.898378,47.419998,29.83,1,0.24946846593551905,0.7087172186991065
1266,109.715538,5.924639,163.103116,200.0,2.010941,31.23141,5.7,19.83,55.74560699999999,11.13506002,5.60024004,1.342914964,0.19364003,0.218328038,0.0,0.027845971,0.0,5.924638953,4.93522402,0.0,0.0,9.296878046,5686,25.971721,10.778833,54.720001,22.709999,1,0.2909995845818176,0.6726759162590125
2263,119.050832,6.8454229999999985,167.802149,200.0,2.097258,13.801308,6.7,27.200001,64.308805,10.54710006,6.1208219810000015,1.196307053,0.330655045,0.168593944,0.023860998,1.005706991,0.163110946,6.859969031,5.407026999,0.366645951,0.351136026,11.29015998,6739,20.952947,11.360688,50.0,27.110001,1,0.2497339530496717,0.7094714382948696
539,119.240194,6.31973,167.532473,250.0,2.106589,17.303213,7.2,29.299999,65.857906,10.17315804,5.8610410439999985,0.997863988,0.14343302,0.190556964,0.865604018,0.629327978,0.072470016,6.347123994,5.049009994,0.220822967,0.211482019,12.12985095,4919,20.541365,12.159447,48.939999,28.969999,0,0.2505338114360671,0.7117437704151838
2564,119.995797,6.839760000000001,169.07408,200.0,2.129918,13.860797,7.5,30.799999,65.18502602,11.47601701,9.605737956,2.524979997,0.354005974,0.212297985,2.11811403,3.225898984,0.00778947,6.857248977999999,5.472085015,0.369714999,0.354075949,12.73953502,7066,18.21325,15.112943,43.119999,35.779999,1,0.2498225748145428,0.7097231994401507
2250,110.222734,7.605369,156.626506,200.0,1.971282,11.481261,7.4,29.9,59.82238094,10.44340905,6.013090975,0.6601229479999999,0.089483054,0.13944895699999998,0.022100979,0.511677036,0.16991799600000002,7.624981957,6.010010983,0.33961104,0.325245048,11.64432,6724,22.611709,8.275699000000001,58.279999,21.33,1,0.24771288073041736,0.7037297633390354
2811,121.069252,6.6224880000000015,170.308118,200.0,2.127585,14.455682,6.6,29.1,65.28513395,11.1597,6.486685952999999,1.219828027,0.348127013,0.14293203599999998,2.395308057,0.61624799,0.087958995,6.639594011,5.298396017,0.37468496,0.358905023,11.29305804,7315,22.049715,12.226639,51.740002,28.690001,1,0.25023104300876603,0.7108836232926959
1142,125.415423,7.023264,176.584917,210.0,2.225566,13.682332,7.1,35.0,69.28892599,10.48041297,5.985089058,1.161814034,0.282509016,0.352644964,0.427111016,1.420203951,0.087574968,7.076685985,5.629362059,0.233015986,0.223159061,12.64873996,5558,21.499215,12.877455,48.700001,29.17,1,0.25000000424724833,0.7102272670320988
843,113.453526,5.876893,159.266061,200.0,2.024939,17.695626,8.45,28.0,61.71125794,9.82250206,5.700208055,1.222472003,0.23739103,0.08998298199999999,1.786793944,6.79132098,0.062230944,5.89927601,4.692755981,0.209996993,0.201113986,13.52623299,5244,18.38637,13.038988,46.040001,32.650002,0,0.25074797322952563,0.7123521815485848
1605,119.761795,6.658756,168.576704,210.0,2.127585,14.396192999999998,7.7,28.299999,64.82109606,10.28900294,5.934355032999999,0.950205941,0.24057005,0.100892012,1.297738017,0.867446026,0.173495962,6.689617983,5.726312984,0.001301144,0.001301144,13.04066805,6058,21.297289000000006,11.563433,50.52,27.43,1,0.25007104777656586,0.7104290934529126
136,115.298298,5.41902,161.30232,200.0,2.022606,21.237338,7.0,27.1,61.82033703,9.835505021,5.9598000560000015,1.250908942,0.157673977,0.095098965,2.135167038,3.88255404,0.065318022,5.438425057000001,4.64332804,0.202235981,0.17613197100000005,11.34392495,4481,18.464348,12.134367,45.495495,29.898649,0,0.2516082967684532,0.7147962781936428
153,117.112011,5.504265,163.839705,205.0,2.0506,20.553779,6.9,25.0,63.44075497,9.923963959,6.053603049,1.223642954,0.25556805,0.086906019,1.4181790159999998,4.329507941,0.075378015,5.518856044,4.71199904,0.205226989,0.178737011,11.34724104,4501,18.950411,12.73804,45.970001,30.9,0,0.25160829604765217,0.7147962760308926
1136,121.991657,6.733939,171.666661,210.0,2.162578,15.764427,8.0,31.120001,66.79989501,10.10340797,5.764271995,1.116790955,0.27234304,0.33982697100000003,0.41179806,1.36928598,0.084435988,6.725498968999998,5.349999953999999,0.224661945,0.215157961,13.73333299,5552,20.156535,13.084142,46.939999,30.469999,1,0.2501421344707113,0.7106310351082089
979,126.96457,3.04715,157.943925,200.0,1.971282,21.327683,7.0,23.450001,52.85579704,23.35821905,7.895698993,1.95681598,0.6096299589999999,0.364700027,0.0,2.948521002,1.7171820009999998,3.047150023,2.314005013,0.0,0.0,11.05607495,5381,14.016381,7.617112,50.18,27.27,0,0.17684887215510187,0.8038585213074829
2026,118.168307,6.499257,166.262809,200.0,2.080927,15.407495,6.8,26.299999,64.43120905,10.34599601,6.125883952000001,0.6282190329999999,0.077735985,0.215731026,0.177118026,0.693207033,0.102179034,6.516054055,5.173746967,0.3640950120000001,0.348693052,11.35880099,6496,23.401484,9.317335,56.259998,22.4,1,0.2501776870616928,0.7107320495228732
2820,124.982806,6.186649,175.163404,200.0,2.18824,15.288518,6.4,30.33,68.25063603,11.66044894,6.503495042999999,1.079711945,0.289501959,0.147653945,2.114448982,8.618274949,0.020917939,6.2022559710000005,4.949399989,0.749103985,0.710511951,11.28421095,7324,22.208146,12.168726,50.48,27.66,1,0.2511594773529293,0.7135212215903272
2067,118.347968,6.722165,166.72861899999995,200.0,2.092592,15.942892,7.1,25.5,64.624083,10.47508304,6.137162011,0.6160440229999999,0.095782985,0.16215099,0.177385989,1.364882002,0.102429036,6.739467055,5.351136991000001,0.364643968,0.349219968,11.89299699,6537,24.295229,8.764946,58.32,21.040001,1,0.2498580402684197,0.7098239564978344
2589,121.101627,6.503157,170.232558,200.0,2.134584,16.775728,7.0,26.5,66.07543298,11.36138195,9.277720055,2.436235011,0.330495056,0.206282013,1.734456009,3.539251034,0.020298023,6.519895049,5.202875936,0.373129033,0.357344988,11.97196304,7091,22.891115,11.454083,53.700001,26.870001,1,0.2504090551232861,0.7113893395175322
1564,121.273614,6.6700490000000014,170.631976,220.0,2.141582,14.812612,7.2,28.299999,66.00448,10.42220602,6.0808110210000015,1.269297033,0.364762054,0.234516983,0.26528597600000003,0.943757948,0.076893984,6.678173022999999,5.562918047999999,0.447784007,0.428842018,12.33134405,6016,20.526249,13.024204,48.084,30.51,1,0.2501776865081841,0.710732049425484
2774,119.652098,6.700517,168.470155,200.0,2.106589,18.560381,6.7,25.799999,65.060005,11.01756604,6.243271009,1.218030058,0.351360054,0.152127004,2.500543026,3.654353959,0.019997004,6.704912983,5.350520972,0.71581796,0.678940949,11.34039397,7278,21.210393,11.531782000000002,50.360001,27.379999,1,0.25000000741971184,0.7102272684440754
2951,122.101797,6.715599,171.79722900000004,200.0,2.174243,15.704938,7.93,30.1,65.69694698,10.786322,6.482169011,1.4859219419999998,0.183286996,0.154699983,0.363757022,3.584638029,0.222886012,6.737372996,5.376424058,0.369125993,0.350261032,13.69546904,7561,21.481321,12.992804,49.98,30.23,1,0.2501776905842876,0.7107320514465341
330,114.225133,5.939707,160.37208700000005,200.0,2.010941,21.2244,7.0,28.700001,61.28387101,9.632516957,5.871510988,1.215898006,0.154817958,0.08930601,2.312798008,3.420669977,0.061839965,5.961000022,4.9678969760000005,0.200355013,0.17449301,11.27850399,4694,15.343085999999998,15.085759,38.16,37.52,0,0.2507122576761129,0.7122507110604602
2017,121.385287,7.283117,168.118623,200.0,2.115921,14.8721,7.4,26.17,66.19411198,10.76856997,6.293280967,0.6395490460000001,0.098288047,0.174349986,0.182172979,1.172935993,0.10517998,7.3015079410000014,5.79739694,0.373984984,0.358164964,12.49869601,6487,21.729181,10.118981,55.080002,25.65,1,0.2346570373705714,0.7220216584809882
2143,114.881832,6.318501,161.638739,200.0,2.024939,16.240333,6.9,25.5,62.13554696,9.979731005,5.915359021,1.049088044,0.161284992,0.13834796,1.201740012,0.81174295,0.170770045,6.334796012000001,4.993086947,0.35413004,0.33915595600000004,11.20523905,6613,20.599324,10.687871,50.939999,26.43,1,0.25017768791180683,0.7107320479653086
2330,117.626547,6.881153,165.912246,200.0,2.094925,15.110053,8.25,28.700001,64.11878304,9.996926954,5.854106004,1.202449984,0.33566601700000004,0.147549947,0.020353944,0.778139976,0.150008058,6.86682404,5.412430985,0.360737948,0.345479049,13.68775997,6812,20.872032,11.299301,50.41,27.290001,1,0.24955690130311414,0.708968444680087
2863,128.510018,6.618266,180.363812,200.0,2.25531,18.399762,6.7,32.0,70.11998996,9.883776014,5.727393009,1.303946048,0.386735051,0.171020035,2.054696949,3.933441007,0.085838049,6.628389954,5.289456051,0.600196062,0.569274988,12.14100297,7392,23.468192,11.797426,51.880001,26.08,1,0.25080157432024114,0.712504446291033
2717,109.03268,6.923575,148.66605900000005,200.0,1.884966,25.6395,8.2,29.200001,56.68855300000001,8.700881045,6.918677981,1.998974038,0.120528996,0.085913987,5.134013018,0.483292011,0.0,6.940861977999999,5.53880798,0.326743955,0.315813051,12.24695101,7221,17.617501,7.124196,53.860001,21.780001,1,0.22002200246661546,0.7334066748887181
2468,120.972975,6.351081,169.906545,200.0,2.120587,14.693635,7.0,25.6,65.43780302,10.88492196,6.356252992999999,0.924708973,0.122533025,0.125105966,0.947254003,2.063557058,0.155686942,6.337800027,4.995454057,0.370998007,0.355304057,11.89345798,6969,23.083967,11.041639,54.209999,25.93,1,0.25062299983794034,0.7119971452541749
845,115.806243,5.9987629999999985,162.568805,200.0,2.06693,17.695626,8.45,29.700001,62.99098106,10.02619404,5.818415042000001,1.24782298,0.242313995,0.091848983,1.823847045,6.93215504,0.06352194,6.021610999,4.790071041,0.214351013,0.205284045,13.80673097,5246,19.440255,12.432959,47.689999,30.5,0,0.25074797714112496,0.7123521822037137
449,107.289895,7.939452,152.99539199999995,200.0,1.936289,12.424579,8.5,30.0,57.97055697,9.259427965,5.666412023,0.879347945,0.060747952,0.189655012,0.446718002,1.260313045,0.08000997900000001,7.93098597,6.771475999,0.187318012,0.16313903400000002,13.00460799,4820,19.049192,10.019332,50.439999,26.530001,0,0.2468443232590953,0.7012622641602174
412,119.506275,5.497289,167.069773,200.0,2.094925,20.963969,6.9,23.1,64.49502305,11.61838102,4.781882038,0.981984043,0.192408997,0.079179018,1.146182983,2.938251053,0.096242039,5.522130941,4.714795026,0.209812992,0.182730945,11.592517,4777,19.825805,12.144515,47.130001,28.870001,0,0.25178827530938225,0.7153075799055524
2173,119.20731200000002,7.33125,168.499537,200.0,2.108922,6.9006539999999985,6.1,32.5,66.38627302,5.331884977,6.868999027,1.1762489740000002,0.411771004,0.06817897,0.27314203800000003,0.8034550309999999,0.168231992,7.414167011,5.858674958,0.0,0.0,10.394722,6644,23.120496,10.578361,55.099998,25.209999,1,0.2490272421342024,0.707463736235667
1920,116.154303,6.272332,163.312951,200.0,2.0561990000000003,13.622843,8.0,24.799999,62.34062199,9.966197056,5.5203259839999985,1.029821051,0.225034956,0.097325953,0.5602419479999999,1.067368041,0.11712901,6.260984006,5.359401948,0.21379199,0.204749021,13.05777799,6391,21.485758,11.067926,52.549999,27.07,1,0.25035562550088264,0.7112375490661484
2102,118.965787,4.7586309999999985,165.600377,200.0,2.0832610000000003,20.701963,7.24,24.1,63.440813,11.90548495,6.288229039,1.4294339530000002,0.208372043,0.095797982,1.625549035,4.298323023,0.369409999,4.779915995,3.963506048,0.201266022,0.201266022,12.05766495,6572,22.081193,11.193444,52.73,26.73,1,0.2528735668276891,0.7183907981079053
2751,116.287198,6.6283699999999985,163.848663,200.0,2.045934,11.54075,7.05,32.400002,63.154302,10.963606,6.2032150370000005,0.7074720590000001,0.086583028,0.123024995,0.817524038,11.10227,0.075724053,6.614552985,5.278414047,0.356629969,0.34154406,11.551331,7255,20.261882,11.45308,49.5,27.98,1,0.2498225756044161,0.7097232035393539
308,114.770553,6.656692,161.826481,250.0,2.06693,30.270984,8.0,19.200001,64.68817599,9.901570051,5.869722007000001,1.470518025,0.083111959,0.064508999,0.7849540359999999,0.272825028,0.037321976,6.694939945,5.716138967000001,1.513085954,1.317778998,13.12592596,4669,22.821529,10.798716,56.490002,26.73,0,0.2496453964169189,0.7092198525901333
2383,111.765477,7.041225,158.148151,200.0,1.992278,11.064842,8.0,28.1,60.650654,9.79508897,5.654152037999999,0.99851201,0.17510096,0.127926974,0.014499028,1.256902024,0.16402105,7.026609955,5.538374027000001,0.342765954,0.328267038,12.65185197,6866,19.005854,12.128969,48.310001,30.83,1,0.2487632561698429,0.7067137762489553
2390,115.211234,6.682252,162.44784099999995,200.0,2.043601,12.492563,7.85,28.0,62.50523699,10.09056199,5.795087003,1.011929036,0.180440999,0.130892035,0.014945972,1.2956430209999998,0.16907698,6.6683320560000015,5.255978982,0.353331038,0.338384951,12.75215598,6873,21.724968,9.931762,53.57,24.49,1,0.24964539848824466,0.7092198535282473
2373,123.762314,6.342819,173.669468,200.0,2.169577,15.050565,7.1,26.799999,67.01982898,11.08851102,6.466411964,0.901933046,0.121696059,0.124016012,0.561940005,1.804918029,0.158662947,6.329542946,4.988945998999999,0.379551991,0.363496049,12.33053196,6856,23.668504,10.90851,54.330002,25.040001,1,0.25084625698283364,0.7126313878038711
2719,108.762791,6.906437,148.29806499999995,200.0,1.8803,25.520523,8.2,27.9,56.54823204,8.67934296,6.901551987,1.994026033,0.12023098,0.085700989,5.121304987,0.482095039,0.0,6.92368096,5.525096951,0.325935045,0.315030978,12.21663601,7223,17.573892,7.106561,53.860001,21.780001,1,0.22002200096137467,0.7334066766144252
920,119.535215,6.574437,168.186049,200.0,2.108922,20.298275,7.0,28.5,67.08145796,8.883545945,5.593333942,1.139806042,0.323387954,0.198725047,0.288880945,1.594914955,0.080637044,6.5968790010000005,5.247685037,0.221167031,0.211811002,11.82803798,5322,20.928801,12.000188,49.740002,28.52,0,0.25017768863813433,0.7107320476979633
448,109.922631,7.144971000000001,155.760369,200.0,1.971282,10.740837,7.9,31.6,59.30513098,10.69050604,4.300199035,0.8623129829999999,0.077028951,0.255452997,0.462188967,1.272560012,0.08592798199999999,7.176991953,6.127715987999999,0.192980013,0.16807095600000002,12.37349397,4818,19.09875,10.64438,49.360001,27.51,0,0.24841214262916905,0.7057162980912045
704,117.94548,5.60241,165.064701,200.0,2.0832610000000003,20.1625,7.7,29.0,61.89471005,9.297674007000001,5.409081978,1.39450496,0.318308011,0.104286052,1.705245981,3.22998302,0.062568975,5.621892973,4.472103993,0.200780015,0.192286988,12.76898797,5086,17.939413000000005,14.248569,43.209999,34.32,0,0.2515184030775908,0.7145408999347473
1534,122.402289,6.854528,172.342424,210.0,2.136917,10.945866,6.2,38.5,66.21529003,10.54968804,6.258664976,1.081001047,0.189612051,0.16113796800000002,0.458926007,0.761329991,0.018365026,6.860983052999999,5.715197946,0.0,0.0,10.69529202,5986,20.021882,13.343612,46.470001,30.969999,1,0.2500000058024019,0.7102272682435986
2511,87.240385,6.499409,128.63594799999998,160.0,1.661009,36.168947,10.7,17.9,34.47261097,8.639362961,7.994011011,1.294115001,0.001610678,0.014887963999999997,5.064392005,0.010556027,0.414216969,6.499408982,5.122833968,0.0,0.0,13.76404597,7013,22.762762,6.110317,65.230003,17.51,1,0.27127839878787224,0.6781959969696808
513,123.466499,5.432526,172.359234,200.0,2.160245,19.327824,6.8,24.4,66.83059104,11.21249902,6.5213769820000005,1.066914972,0.130221952,0.108761962,1.988646016,5.318246983,0.084365939,5.45868398,4.342274051,0.228758984,0.219083042,11.79175996,4893,19.826547,13.19452,45.619999,30.360001,0,0.25214900293650644,0.7163323724216597
825,114.399422,6.177569,160.845588,200.0,2.041269,17.223658,8.5,29.5,62.15598005,9.441995945,5.496412972999999,1.461165986,0.258908969,0.093843048,1.791627053,4.943523968,0.062537022,6.186878976,4.9215379530000005,0.21126196100000005,0.202325043,13.70967699,5224,18.438991,12.539641,45.790001,31.139999,0,0.2503556267890917,0.7112375503890104
1175,119.898082,6.474496,168.576704,210.0,2.127585,16.240333,7.4,25.0,67.64965405,9.700469056000001,5.4655670160000005,1.25549698,0.382218968,0.359922041,0.321228958,0.985603057,0.081020017,6.4752820170000005,5.15095698,1.289809046,1.235248005,12.56759695,5591,20.982625,11.931106,49.716999,28.27,1,0.2503556244639829,0.7112375503557122
1763,116.801121,6.24886,164.163977,200.0,2.078595,15.526472,7.8,25.200001,62.91716798,10.43078796,5.741695029,1.116940051,0.196618004,0.098990016,0.573940054,1.474784997,0.122394028,6.284439002,5.379480056,0.216599048,0.207436957,12.89387696,6229,21.140816,10.985659,51.419998,26.719999,1,0.2504446879963197,0.711490566532754
509,114.448652,5.779657,160.514236,200.0,2.038936,18.529706,7.6,21.799999,64.17923401,10.16894601,5.857003953,0.966912037,0.137087972,0.18110399,0.854650949,0.6194230239999999,0.07093796599999999,5.806834995,4.619220976,1.23682603,1.184506989,12.34646897,4889,19.154088,11.737522,47.545358,29.135539,0,0.2509803990220531,0.7130124707443394
7,123.541636,5.899113,172.92740600000005,205.0,2.153247,19.957104,6.2,26.4,67.95971299,10.95819895,7.36549594,1.40657,0.275055984,0.292202969,0.546905014,3.893290054,0.064766039,5.922642019,4.878480054,0.215527034,0.20585296600000005,10.77702498,4337,20.930128,12.171915,48.130001,27.99,0,0.2514734824623461,0.7144132839186866
522,115.726045,5.902028,162.363642,200.0,2.0832610000000003,19.185181,9.3,28.700001,61.95164999,10.30331794,5.981704054,1.171466042,0.127801995,0.099229014,2.160374975,2.621403032,0.054408026,5.932359979,4.719074053,0.214487049,0.205413982,15.196523999999998,4902,18.359521,12.346951,45.07,30.309999,0,0.2508909537764619,0.7127583711136511
206,115.297187,5.880157,161.761955,200.0,2.013274,18.23082,6.2,30.4,64.75854595,7.95769603,4.965460048,1.283626946,0.192673978,0.057187985,1.908973949,0.855798985,0.087357995,5.901437997,5.038648022,0.202241974,0.176137034,10.07646005,4554,20.020389,11.034956,49.330002,27.190001,0,0.2508909526965101,0.7127583676891146
225,115.173229,5.960215,161.674421,200.0,2.027271,20.819343,7.0,29.5,62.12282803,9.777238051,8.967690944,2.661081027,0.155219969,0.142744013,2.083266048,3.830939034,0.063045978,5.981580045,4.985049027,0.202018014,0.175941008,11.37009397,4582,18.132251,12.2521,44.725737,30.22152,0,0.2507569085402817,0.7123775566204131
913,125.668325,3.116574,156.431931,200.0,1.943288,18.425647,6.5,27.5,53.63662801,22.34758801,7.4872130289999985,1.641085977,0.656530029,0.161749032,0.0,3.319421011,1.792019991,3.116573959,2.366727058,0.0,0.0,10.16807504,5315,13.812457,7.459169,49.959999,26.98,0,0.17673521526752745,0.8033419021082083
407,111.797466,5.701671,156.851846,200.0,1.975948,19.185181,7.6,25.85,60.14877204,9.18059701,5.7572999970000005,1.280628029,0.14685994900000002,0.097346,2.098608024,2.725063998,0.076546049,5.71666405,4.88088796,0.195910035,0.17062196,11.96505496,4772,15.642701999999998,12.541709,39.75,31.870001,0,0.25089095221741925,0.7127583694488364
1106,114.489285,5.838954,160.628469,200.0,2.027271,20.82094,7.8,26.5,61.66437305,9.531035055,5.642814984,1.394065,0.31407998,0.200164042,1.438764027,2.222902041,0.014731967,5.853252043,4.875759005,0.211626965,0.202675055,12.57550996,5521,18.916927,12.35202,46.939999,30.65,1,0.2508909550772099,0.7127583653928745
2464,85.82682,6.9519720000000005,127.109521,160.0,1.651678,35.098156,11.4,17.5,34.06464795,9.894647958,8.138871961,1.134133002,1.746326953,0.045033018,5.782325001,2.923003965,0.297217957,6.951972033,5.479545047999999,0.0,0.0,14.49048502,6965,22.726941,6.014744,66.199997,17.52,1,0.2700877772956127,0.6752194432390316
186,120.488525,5.843693,168.74418,200.0,2.115921,24.882297,6.9,24.0,67.51778995,8.799132027,5.4349050320000005,1.120723947,0.235919001,0.060475949,1.312119023,0.934108003,0.09943695,5.870111943,5.011901993,0.211538005,0.184233007,11.708699,4534,20.745215,11.551312,48.913594,27.235977,0,0.25133881358160026,0.7140307001995565
1488,110.951393,5.9359,155.942183,200.0,1.975948,21.17787,8.17,24.700001,58.69272705,9.555795022,5.85720498,1.591847995,0.4008330470000001,0.10521904,1.908387953,3.143552054,0.020133044,5.953662042,4.959399947,0.205197966,0.196518032,12.79465597,5938,19.578217,10.947086,50.130001,28.030001,1,0.2504446856435247,0.7114905721180009
